calendar_quarter,company,fiscal_period_end,capex_usd,ocf_usd,fcf_usd,capex_to_ocf_ratio
2023Q4,AMZN,2023-12-31,14588000000,42465000000,27877000000,0.3435
2023Q4,GOOGL,2023-12-31,11019000000,18915000000,7896000000,0.5826
2023Q4,MSFT,2023-12-31,9735000000,18853000000,9118000000,0.5164
2023Q4,ORCL,2023-11-30,1080000000,143000000,-937000000,7.5524
2024Q1,AMZN,2024-03-31,14925000000,18989000000,4064000000,0.786
2024Q1,GOOGL,2024-03-31,12012000000,28848000000,16836000000,0.4164
2024Q1,META,2024-03-31,6400000000,19246000000,12846000000,0.3325
2024Q1,MSFT,2024-03-31,10952000000,31917000000,20965000000,0.3431
2024Q1,ORCL,2024-02-29,1674000000,5475000000,3801000000,0.3058
2024Q2,AMZN,2024-06-30,17620000000,25281000000,7661000000,0.697
2024Q2,GOOGL,2024-06-30,13186000000,26640000000,13454000000,0.495
2024Q2,META,2024-06-30,8173000000,19370000000,11197000000,0.4219
2024Q2,MSFT,2024-06-30,13873000000,37195000000,23322000000,0.373
2024Q2,ORCL,2024-05-31,2798000000,6081000000,3283000000,0.4601
2024Q3,AMZN,2024-09-30,22620000000,25971000000,3351000000,0.871
2024Q3,GOOGL,2024-09-30,13061000000,30698000000,17637000000,0.4255
2024Q3,META,2024-09-30,8258000000,24724000000,16466000000,0.334
2024Q3,MSFT,2024-09-30,14923000000,34180000000,19257000000,0.4366
2024Q3,ORCL,2024-08-31,2303000000,7427000000,5124000000,0.3101
2024Q4,AMZN,2024-12-31,27834000000,45636000000,17802000000,0.6099
2024Q4,GOOGL,2024-12-31,14276000000,39113000000,24837000000,0.365
2024Q4,META,2024-12-31,14425000000,27988000000,13563000000,0.5154
2024Q4,MSFT,2024-12-31,15804000000,22291000000,6487000000,0.709
2024Q4,ORCL,2024-11-30,3970000000,1304000000,-2666000000,3.0445
2025Q1,AMZN,2025-03-31,25019000000,17015000000,-8004000000,1.4704
2025Q1,GOOGL,2025-03-31,17197000000,36150000000,18953000000,0.4757
2025Q1,META,2025-03-31,12941000000,24026000000,11085000000,0.5386
2025Q1,MSFT,2025-03-31,16745000000,37044000000,20299000000,0.452
2025Q1,ORCL,2025-02-28,5862000000,5933000000,71000000,0.988
2025Q2,AMZN,2025-06-30,32183000000,32515000000,332000000,0.9898
2025Q2,GOOGL,2025-06-30,22446000000,27747000000,5301000000,0.809
2025Q2,META,2025-06-30,16538000000,25561000000,9023000000,0.647
2025Q2,MSFT,2025-06-30,17079000000,42647000000,25568000000,0.4005
2025Q2,ORCL,2025-05-31,9080000000,6157000000,-2923000000,1.4747
2025Q3,AMZN,2025-09-30,35095000000,35525000000,430000000,0.9879
2025Q3,GOOGL,2025-09-30,23953000000,48414000000,24461000000,0.4948
2025Q3,META,2025-09-30,18829000000,29999000000,11170000000,0.6277
2025Q3,MSFT,2025-09-30,19394000000,45057000000,25663000000,0.4304
2025Q3,ORCL,2025-08-31,8502000000,8140000000,-362000000,1.0445
2025Q4,AMZN,2025-12-31,39522000000,54459000000,14937000000,0.7257
2025Q4,GOOGL,2025-12-31,27851000000,52402000000,24551000000,0.5315
2025Q4,META,2025-12-31,21383000000,36214000000,14831000000,0.5905
2025Q4,MSFT,2025-12-31,29876000000,35758000000,5882000000,0.8355
2025Q4,ORCL,2025-11-30,12033000000,2066000000,-9967000000,5.8243
2026Q1,AMZN,2026-03-31,44203000000,26032000000,-18171000000,1.698
2026Q1,GOOGL,2026-03-31,35674000000,45790000000,10116000000,0.7791
2026Q1,META,2026-03-31,18997000000,32226000000,13229000000,0.5895
2026Q1,MSFT,2026-03-31,30876000000,46679000000,15803000000,0.6615
2026Q1,ORCL,2026-02-28,18635000000,7151000000,-11484000000,2.6059
2026Q2,AMZN,2026-06-30,54208000000,45387000000,-8821000000,1.1944
2026Q2,GOOGL,2026-06-30,44924000000,39069000000,-5855000000,1.1499
2026Q2,META,2026-06-30,30116000000,31862000000,1746000000,0.9452
2026Q2,MSFT,2026-06-30,35802000000,55441000000,19639000000,0.6458
2026Q2,ORCL,2026-05-31,16493000000,14620000000,-1873000000,1.1281
